"Combined measurements of the mass and signal strength of the Higgs-like boson with the ATLAS detector using up to 25 fb^-1 of proton-proton collision data. An update is presented of the measurement of the properties of the newly discovered boson using the the full pp collision data sample recorded by the ATLAS experiment at the LHC for the channels H→ γγ and H → ZZ^(*)→ 4l, corresponding to integrated luminosities of about 4.8 fb^-1 at √(s)=7TeV and 20.7 fb^-1 at √(s)=8TeV. The combined mass measurement derived from the H→ γγ and H → ZZ^(*)→ 4l channels is m_H=125.5 ± 0.2 (stat) ^+0.5_-0.6 (sys)GeV. The combination of all final states, including the H →τ^+τ^- and H → bb̅ channels using data corresponding to integrated luminosity of about 4.8 fb^-1 at √(s)=7TeV and 13 fb^-1 at √(s)=8TeV and the H → WW^(*)→ lν lν channel using data corresponding to an integrated luminosity of 13 fb^-1 at √(s)=8TeV, is reported in terms of the combined signal strength (μ) and production and decay mode specific signal strengths. The combined signal strength is determined to be μ = 1.43 ± 0.16 (stat)± 0.14 (sys) at a mass of 125.5 GeV.
",SM
"Flavour independent search for Higgs bosons decaying into hadronic final states in e+e- collisions. A search for the Higgsstrahlung process e+e- -> hZ is described, where the neutral Higgs boson h is assumed to decay into hadronic final states. In order to be sensitive to a broad range of models, the search is performed independent of the flavour content of the Higgs boson decay. The analysis is based on e+e- collision data collected by the OPAL detector at energies between 192 GeV and 209 GeV. The search does not reveal any significant excess over the Standard Model background prediction. Results are combined with previous searches at energies around 91 GeV and at 189 GeV. A limit is set on the product of the cross-section and the hadronic branching ration of the Higgs boson, as a function of the Higgs boson mass. Assuming the hZ coupling predicted by the Standard Model, and a Higgs boson decaying only into hadronic final states, a lower bound of 104 GeV/c2 is set on the mass at the 95% confidence level.
",SM
"Search for the flavor-changing interactions of the top quark with the Higgs boson in H → bb̅ channel at √(s)=13 TeV. A search for flavor-changing neutral currents (FCNC) in associated production of a top quark with a Higgs boson is presented. Two channels are considered: top quark pair production, with FCNC decay of the top quark or antiquark, and single top production (pp → tH). This is the first analysis to probe top-Higgs FCNC couplings in the single top production mode. A final state with one isolated lepton and at least three reconstructed jets, among which at least two are identified as b quark jets, is studied. The data sample corresponds to an integrated luminosity of 35.9 fb^-1 recorded by the CMS experiment at the LHC in proton-proton collisions at √(s)=13 TeV in 2016. No significant deviation is observed from predicted background. Observed (expected) upper limits at 95
",BSM
"Search for invisible Higgs produced in association with a Z boson. %% A direct search for a standard-model-like Higgs boson produced in association with a Z boson and decaying to invisible particles is reported. A non-zero partial decay width to invisible particles could provide evidence for physics beyond the standard model. The search is performed in data samples corresponding to integrated luminosities of 5.1 fb^-1 at √(s) = 7 TeV and 19.6 fb^-1 at √(s) = 8 TeV, recorded by the CMS experiment at the Large Hadron Collider. No deviation from the background expectation is observed and limits are set on the branching fraction of the standard model Higgs boson decaying to invisible particles assuming the standard model production rate. For a Higgs boson with = 125, the observed (expected) 95 %%
",BSM
"Inclusive search for a highly boosted Higgs boson decaying to a bottom quark-antiquark pair. An inclusive search for the standard model Higgs boson (H) produced with large transverse momentum (pT) and decaying to a bottom quark-antiquark pair (bbÂ¯) is performed using a data set of pp collisions at s=13ââTeV collected with the CMS experiment at the LHC. The data sample corresponds to an integrated luminosity of 35.9ââfb-1. A highly Lorentz-boosted Higgs boson decaying to bbÂ¯ is reconstructed as a single, large radius jet, and it is identified using jet substructure and dedicated b tagging techniques. The method is validated with ZâbbÂ¯ decays. The ZâbbÂ¯ process is observed for the first time in the single-jet topology with a local significance of 5.1 standard deviations (5.8 expected). For a Higgs boson mass of 125Â GeV, an excess of events above the expected background is observed (expected) with a local significance of 1.5 (0.7) standard deviations. The measured cross section times branching fraction for production via gluon fusion of HâbbÂ¯ with reconstructed pT>450ââGeV and in the pseudorapidity range -2.5<Î·<2.5 is 74Â±48(stat)-10+17(syst)âfb, which is consistent within uncertainties with the standard model prediction.
",BSM
"Search for single production of a vector-like B quark decaying into a bottom quark and a Higgs boson which decays into a pair of photons. A search is presented for single production of a vector-like B quark that decays into a Higgs boson and a b quark. The search uses a dataset corresponding to 79.8 fb^-1 of pp collisions at √(s)=13 TeV collected during 2015-2017 with the ATLAS detector at the Large Hadron Collider. The analysis focuses on the presence of a Higgs boson that decays into two photons, a high-momentum b-jet and a forward jet, characteristic of t-channel production of the signal process. The main background process is non-resonant diphoton production, with additional small contributions from Standard Model processes containing H→γγ decays. No significant excess above the background expectation is observed, and upper limits on the signal production cross section are set as a function of the B-quark mass. Assuming a generalized coupling κ_B = 0.5 and doublet branching ratios of 50% for B→ Hb and B→ Zb, B quarks with masses less than 1210 GeV are excluded at the 95% confidence level.
",BSM
"Search for Neutral Higgs Bosons Decaying to Tau Pairs in pp Collisions at sqrts=7 TeV. A search for neutral Higgs bosons in proton-proton collisions at the LHC at a center-of-mass energy of 7 TeV is presented. The results are based on a data sample corresponding to an integrated luminosity of 1.1/fb recorded by the CMS experiment. The search uses decays of the Higgs bosons to tau pairs, including the cases where the Higgs boson is produced in association with a b-quark jet (MSSM search) or two forward jets from vector boson fusion Higgs boson production (SM search). No excess is observed in the tau-pair invariant-mass spectrum. The resulting upper limits on the Higgs boson production cross section times branching fraction to tau pairs, as a function of the pseudoscalar Higgs boson mass, yield stringent new bounds in the MSSM parameter space.
",BSM
"Evidence for Higgs boson decays to a low-mass dilepton system and a photon in pp collisions at √(s) = 13 TeV with the ATLAS detector. A search for the Higgs boson decaying into a photon and a pair of electrons or muons with an invariant mass m_ℓℓ < 30 GeV is presented. The analysis is performed using 139 fb^-1 of proton-proton collision data, produced by the LHC at a centre-of-mass energy of 13 TeV and collected by the ATLAS experiment. Evidence for the H→ℓℓγ process is found with a significance of 3.2σ over the background-only hypothesis, compared to an expected significance of 2.1σ. The best-fit value of the signal strength parameter, defined as the ratio of the observed signal yield to the one expected in the Standard Model, is μ = 1.5 ± 0.5. The Higgs boson production cross-section times the H →ℓℓγ branching ratio for m_ℓℓ < 30 GeV is determined to be 8.7 ^+2.8_-2.7 fb.
",SM
"Combination of standard model Higgs boson searches and measurements of the properties of the new boson with a mass near 125 GeV. Measurements of the properties of the recently discovered boson with a mass near 125 are presented. The results are based on data samples corresponding to integrated luminosities of up to 5.1 fb^-1 at 7 TeV and up to 19.6 fb^-1 at 8 TeV in proton proton collisions at the LHC. Five decay modes are studied: γγ, ZZ, WW, ττ, and bb. The mass of the new boson is measured to be 125.7± 0.3 (stat.) ± 0.3 (syst.) GeV. The event yields obtained by the different analyses targeting specific decay modes and production mechanisms are consistent with those expected for the standard model (SM) Higgs boson. The best-fit signal strength for all channels combined, expressed in units of the SM Higgs boson cross section, is 0.80±0.14 at the measured mass. The consistency of the couplings of the observed boson with those predicted for the SM Higgs boson is tested in various ways, and no significant deviations are found.
",SM
"A flavour-independent Higgs boson search in e^+ e^- collisions at √(s) up to 209 GeV. A search for the Higgsstrahlung process e+e- -> HZ is carried out, covering decays of the Higgs boson into any quark pair, a gluon pair or a tau pair. The analysis is based on the 630pb-1 of data collected by the ALEPH detector at LEP at centre-of-mass energies from 189 to 209GeV. A 95% C.L. lower mass limit of 109.1GeV/c2 is obtained for a Higgs boson cross section equal to that expected from the Standard Model if the Higgs boson decays exclusively into hadrons and/or taus, irrespective of the relative branching fractions.
",SM
"A search for doubly-charged Higgs production in Z^0 decays.
",BSM
"A search for neutral Higgs particles in Z0 decays.
",SM
"Searches for electroweak neutralino and chargino production in channels with Higgs, Z, and W bosons in pp collisions at 8 TeV. Searches for supersymmetry (SUSY) are presented based on the electroweak pair production of neutralinos and charginos, leading to decay channels with Higgs, Z, and W bosons and undetected lightest SUSY particles (LSPs). The data sample corresponds to an integrated luminosity of about 19.5 fb^-1 of proton-proton collisions at a center-of-mass energy of 8 TeV collected in 2012 with the CMS detector at the LHC. The main emphasis is neutralino pair production in which each neutralino decays either to a Higgs boson (h) and an LSP or to a Z boson and an LSP, leading to hh, hZ, and ZZ states states with missing transverse energy E_ T^ miss. A second aspect is chargino-neutralino pair production, leading to hW states with E_ T^ miss. The decays of a Higgs boson to a bottom-quark pair, to a photon pair, and to final states with leptons are considered in conjunction with hadronic and leptonic decay modes of the Z and W bosons. No evidence is found for supersymmetric particles, and 95% confidence level upper limits are evaluated for the respective pair production cross sections and for neutralino and chargino mass values.
",BSM
"Search for charged Higgs bosons produced via vector boson fusion and decaying into a pair of W and Z bosons using proton-proton collisions at √(s) = 13 TeV. A search for charged Higgs bosons produced in vector boson fusion processes and decaying into W and Z A search for charged Higgs bosons produced via vector boson fusion and decaying into W and Z bosons using proton-proton collisions at √(s)= 13 TeV is presented. The data sample corresponds to an integrated luminosity of 15.2 fb^-1 collected with the CMS detector in 2015 and 2016. The event selection requires three leptons (electrons or muons), two jets with large pseudorapidity separation and high dijet mass, and missing transverse momentum. The observation agrees with the standard model prediction. Limits on the vector boson fusion production cross section times branching fraction for new charged physical states are reported as a function of mass from 200 to 2000 GeV and interpreted in the context of Higgs triplet models.
",BSM
"Search for light bosons in decays of the 125 GeV Higgs boson in proton-proton collisions at √(s) = 8 TeV. A search is presented for decays beyond the standard model of the 125 GeV Higgs bosons to a pair of light bosons, based on models with extended scalar sectors. Light boson masses between 5 and 62.5 GeV are probed in final states containing four Ï leptons, two muons and two b quarks, or two muons and two Ï leptons. The results are from data in proton-proton collisions corresponding to an integrated luminosity of 19.7 fb^â1, accumulated by the CMS experiment at the LHC at a center-of-mass energy of 8 TeV. No evidence for such exotic decays is found in the data. Upper limits are set on the product of the cross section and branching fraction for several signal processes. The results are also compared to predictions of two-Higgs-doublet models, including those with an additional scalar singlet.
",BSM
"Search for invisible decays of the Higgs boson produced through vector boson fusion at √(s) = 13 TeV. A search for invisible decays of the Higgs boson is performed using 13 TeV proton-proton collision data collected by the CMS experiment at the LHC in 2016, corresponding to an integrated luminosity of 35.9 fb^-1. The search targets the production of the Higgs boson through vector boson fusion. The data are found to be in agreement with the predicted background contributions from standard model processes. An observed (expected) upper limit of 0.28 (0.21), at 95
",BSM
"Inclusive search for the standard model Higgs boson produced in pp collisions at √(s)=13 TeV using H→bb̅ decays. A search for the standard model Higgs boson produced with high transverse momentum decaying to a bottom quark-antiquark pair has been performed using a data set of pp collisions at √(s)=13 TeV collected with the CMS experiment at the LHC. The data sample corresponds to an integrated luminosity of 35.9 fb^-1. A high-transverse-momentum Higgs boson decaying to bb̅ is reconstructed as a single jet and identified based on jet substructure and dedicated b-tagging techniques. The analysis strategy is validated with Z→bb̅ decays. The Z→bb̅ process is observed with a local significance of 5.1 standard deviations for the first time in the single jet topology. For a Higgs boson mass of 125 GeV, an excess of events is observed above the expected background with a local significance of 1.5 standard deviations. The measured cross section of H(bb̅) production for p_T>450 GeV is 74_-49^+51 fb.
",SM
"Search for resonant double Higgs production with bbZZ decays in the bb̅ℓℓνν final state. A search for the resonant double Higgs boson production is performed using 2016 data collected with the CMS experiment at √(s) = 13 TeV corresponding to an integrated luminosity of 35.9 fb^-1. Events in which one Higgs boson decays to a pair of b quarks, and the other Higgs boson to a pair of Z bosons are studied. Decays to electron and muon pairs are selected to reconstruct an on-shell Z boson, while the other Z boson is allowed to be off-shell and required to decay to neutrinos: X → HH → bb̅ZZ^*→ bb̅ℓℓνν. Limits are set on the resonant double Higgs boson production cross section for a resonance with a mass in the range from 250 to 1000 GeV for spin 0 and spin 2 hypotheses.
",BSM
"Search for decays of the 125 GeV Higgs boson into a Z boson and a ρ or ϕ meson. The decays of the 125 GeV Higgs boson into a Z boson and a ρ^0(770) or ϕ(1020) meson are searched for using proton-proton collision data collected by the CMS experiment at the LHC from 2016 to 2018 at √(s)=13 TeV. The analysed data set corresponds to an integrated luminosity of 137 fb^-1. Events are selected in which the Z boson decays into a pair of electrons or a pair of muons, and the ρ and ϕ mesons decay into pairs of pions and kaons, respectively. No significant excess above the background model is observed. As different polarization states are possible for the decay products of the Z boson and ρ or ϕ mesons, affecting the signal acceptance, scenarios in which the decays are longitudinally or transversely polarized are considered. Upper limits at the 95
",BSM
"Measurements of the Higgs boson inclusive, differential and production cross sections in the 4ℓ decay channel at √(s) = 13 TeV with the ATLAS detector. Inclusive, differential and production mode cross sections of the Higgs boson are measured in the H → ZZ^*→ 4ℓ decay channel. Additionally, cross sections are measured for the main production modes in several exclusive regions of the Higgs boson production phase space. The dataset used corresponds to proton-proton collision data produced at the Large Hadron Collider at a centre-of-mass energy of 13 TeV and recorded by the ATLAS detector from 2015 to 2018, equivalent to an integrated luminosity of 139 fb^-1. The inclusive fiducial cross section for the process H → ZZ^*→ 4ℓ is measured to be 3.35 ± 0.32 fb, while the Standard Model prediction is 3.41 ± 0.18 fb. The cross-section times H → ZZ^* branching ratio with |y_H|< 2.5 for gluon fusion and vector-boson fusion production are measured to be 1.14 ± 0.13 pb and 0.13 ± 0.04 pb, respectively. All measurements are in agreement with the Standard Model prediction.
",SM
"Search for nonresonant Higgs boson pair production in final states with two bottom quarks and two photons in pp collisions at √(s)=13 TeV. A search for nonresonant production of Higgs boson pairs via gluon-gluon fusion and vector boson fusion in final states with two bottom quarks and two photons is presented. This search uses data from proton-proton collisions at a center-of-mass energy of √(s)=13 TeV recorded by the CMS detector at the LHC from 2016 to 2018, corresponding to an integrated luminosity of 137 fb^-1. No signal is observed, and a 95
",BSM
"Search for non-minimal Higgs bosons in Z0 decays.
",BSM
"Combination of searches for invisible Higgs boson decays with the ATLAS experiment. Dark matter particles, if sufficiently light, may be produced in decays of the Higgs boson. This Letter presents a statistical combination of searches for H→invisible decays where H is produced according to the Standard Model via vector boson fusion, Z(ℓℓ)H, and W/Z(had)H, all performed with the ATLAS detector using 36.1 fb^-1 of pp collisions at a center-of-mass energy of √(s) = 13 TeV at the LHC. In combination with the results at √(s) = 7 and 8 TeV, an exclusion limit on the H→invisible branching ratio of 0.26 (0.17^+0.07_-0.05) at 95% confidence level is observed (expected).
",BSM
"Search for a Standard Model Higgs boson in the H → ZZ → l^+l^-νν decay channel with the ATLAS detector. A search for a heavy Standard Model Higgs boson decaying via H->ZZ->llnunu, where l=e,mu, is presented. It is based on proton-proton collision data at sqrt(s)=7 TeV, collected by the ATLAS experiment at the LHC in the first half of 2011 and corresponding to an integrated luminosity of 1.04 fb^-1. The data are compared to the expected Standard Model backgrounds. The data and the combined background expectations are found to be in agreement and upper limits are placed on the Higgs boson production cross section over the entire mass window considered; in particular the production of a Standard Model Higgs boson is excluded in the region 340 < m_H < 450 GeV at the 95% confidence level.
",SM
"Search for heavy neutral Higgs bosons produced in association with b-quarks and decaying to b-quarks at √(s)=13 TeV with the ATLAS detector. A search for heavy neutral Higgs bosons produced in association with one or two b-quarks and decaying to b-quark pairs is presented using 27.8 fb^-1 of √(s)=13 TeV proton–proton collision data recorded by the ATLAS detector at the Large Hadron Collider during 2015 and 2016. No evidence of a signal is found. Upper limits on the heavy neutral Higgs boson production cross-section times its branching ratio to bb̅ are set, ranging from 4.0 to 0.6 pb at 95
",BSM
"Search for the Standard Model Higgs boson in the decay channel H → ZZ^(*)→ 4l with 4.8 fb^-1 of pp collisions at √(s)=7 TeV with ATLAS. This Letter presents a search for the Standard Model Higgs boson in the decay channel H->ZZ(*)->l+l-l'+l'-, where l,l'=e or mu, using proton-proton collisions at sqrt(s)=7 TeV recorded with the ATLAS detector and corresponding to an integrated luminosity of 4.8 fb^-1. The four-lepton mass distribution is compared with Standard Model background expectations to derive upper limits on the cross section of a Standard Model Higgs boson with a mass between 110 GeV and 600 GeV which exclude the mass ranges 134-156 GeV, 182-233 GeV, 256-265 GeV and 266-415 GeV at the 95% confidence level. The largest upward deviations from the background-only hypothesis are observed for Higgs boson masses of 125, 244 and 500 GeV with local significances of 2.1, 2.2 and 2.1 standard deviations, respectively. Once the look-elsewhere effect is considered, none of these excesses are significant.
",SM
